ID;COD_COMPONENTE;IMG_LATOSX;IMG_LATODX;CLASSE_LATOSX;CLASSE_LATODX;CLASSE_ASTASX;CLASSE_ASTADX;CLASSE_CALCIOSX;CLASSE_CALCIODX
49;2;20201 31135350.png;20201 31135335.png;3+;3+;3+;3+;3+;3+
50;2;20201 31135449.png;20201 31135436.png;3+;3+;3+;3+;3+;3+
51;2;20201 31141739.png;20201 31141714.png;3+;3+;3+;3+;3+;3+
52;2;20201 31141846.png;20201 31141821.png;3+;3+;3+;3+;3+;3+
53;2;20201 31141955.png;20201 31141938.png;3+;3+;3+;3+;4-;4-
54;2;20201 3114216 .png;20201 31142043.png;3+;3+;3;3+;3+;3+
55;2;20201 31142221.png;20201 3114227 .png;3+;3+;3+;3+;3+;3+
56;2;20201 31154 53.png;20201 31154 38.png;3+;3+;3+;3+;3;3
57;2;20201 31155 47.png;20201 31155 34.png;3+;3+;3+;3+;3+;3+
58;2;20201 31156 39.png;20201 31156 26.png;3+;3+;3+;3+;3+;3+
59;2;20201 31157 33.png;20201 31157 17.png;4-;4-;4-;4-;4-;4-
60;2;20201 31159 9 .png;20201 31158 52.png;3+;3+;3+;3+;3+;3+
61;2;20201 3115116 .png;20201 31151021.png;3;3+;3;3+;3;3+
62;2;20201 31151923.png;20201 31151859.png;3+;3+;3+;3+;3+;3+
63;4;20202 10125358.png;20202 10125333.png;2;2;3;3;2;2
64;4;20202 10125515.png;20202 1012553 .png;2;2;3;3;2;2
65;4;20202 10125629.png;20202 10125611.png;2;2;3;2+;2;2
66;4;20202 10125716.png;20202 1012572 .png;2;2;2;2;2;2
67;4;20202 1012587 .png;20202 10125753.png;2;2;2;2;2;2
68;4;20202 10125943.png;20202 10125859.png;2;2;3;3;2;3
69;4;20202 10130 42.png;20202 10130 25.png;2;2;2;2;2;2
70;4;20202 10131 38.png;20202 10131 18.png;2;2;2;2;2-;2
71;4;20202 10135741.png;20202 10135726.png;2;2;2;2;2;2
72;4;20202 10135854.png;20202 10135838.png;2;2;2+;2+;2-;2-
73;4;20202 10140 7 .png;20202 10135943.png;2;2;2-;2;2;2
74;4;20202 10141 4 .png;20202 10140 50.png;2;2;2;2;2;2
75;4;20202 10142 13.png;20202 10141 56.png;2;2;2+;3-;2;2
76;4;20202 10143 14.png;20202 10142 59.png;2;2;2;2;2-;2-
77;4;20202 10144 5 .png;20202 10143 52.png;2;2;2;2;2;2
78;4;20202 10145 4 .png;20202 10144 44.png;2;2;2;2;2-;2
79;4;20202 10146 4 .png;20202 10145 51.png;2;2;2;2;2;2
80;4;20202 10146 52.png;20202 10146 40.png;2;2;2;2;2;2
81;4;20202 10141335.png;20202 10141311.png;2;2;3;2+;3;2+
82;4;20202 10141446.png;20202 10141416.png;2;2;2;2;3-;3
83;4;20202 10141550.png;20202 10141529.png;2;2;2;2;3-;3-
84;4;20202 10141646.png;20202 10141632.png;2;2;2;2;3-;3-
85;4;20202 10141744.png;20202 10141727.png;2;2;2;2;3-;3-
86;4;20202 10141853.png;20202 10141833.png;2;2;3-;3-;2+;2+
87;4;20202 1014202 .png;20202 10141939.png;2;2;2;2;2+;2+
88;4;20202 1014217 .png;20202 10142044.png;2;2;2;2;3-;2+
89;4;20202 1014224 .png;20202 10142150.png;2;2;2;2;2;2
90;4;20202 10142332.png;20202 10142312.png;2;2;3-;2+;2+;3-
91;4;20202 10143336.png;20202 10143319.png;2;2;2;2+;2;2
92;4;20202 10143454.png;20202 10143440.png;2;2;2;2;2+;2+
93;4;20202 10144049.png;20202 10144037.png;2;2;2;2;3-;3-
94;4;20202 10144148.png;20202 10144122.png;2;2;2;2;3-;3-
95;4;20202 1014573 .png;20202 10145647.png;2;2;2;2;2;2
96;4;20202 1014589 .png;20202 10145756.png;2;2;2;2;2;2
97;4;20202 10145914.png;20202 10145851.png;2;2;2-;2;2;2
98;4;20202 10150 9 .png;20202 10145958.png;2;2;2-;2-;2;2
99;4;20202 10151 21.png;20202 10150 59.png;2;2;2;2;2;2
100;4;20202 10151153.png;20202 10151132.png;2;2;2;2-;2;2
101;4;20202 10151255.png;20202 10151240.png;2;2;2;2-;2;2
102;4;20202 1015145 .png;20202 10151348.png;2;2;2-;2-;2;2-
103;4;20202 10151459.png;20202 10151444.png;2;2;2-;2;2-;2-
104;4;20202 10151552.png;20202 10151537.png;2;2;2;2;2;2
105;4;20202 10151646.png;20202 10151628.png;2;2;2;2;2-;2
106;4;20202 10151737.png;20202 10151724.png;2;2;2;2;2;2
107;4;20202 10152451.png;20202 10152438.png;2;2;2;2;2;2
108;4;20202 10152541.png;20202 10152529.png;2;2;2;2;2;2
109;4;20202 1015274 .png;20202 10152646.png;2;2;2;2;2;2
110;4;20202 10152858.png;20202 10152846.png;2;2;2;2;2;2
111;4;20202 10164 28.png;20202 10164 8 .png;2;2;2-;2-;2;2
112;4;20202 10165 20.png;20202 10165 8 .png;2;2;2;2;2;2
113;4;20202 10166 15.png;20202 10166 4 .png;2;2;2-;2-;2;2
114;4;20202 10167 16.png;20202 10166 59.png;2;2;2;2-;2;2
115;4;20202 10168 36.png;20202 10168 2 .png;2;2;2;2;2;2
116;4;20202 10169 45.png;20202 10169 31.png;2;2;2;2;2;2-
117;4;20202 10161041.png;20202 10161026.png;2;2;2-;2-;2;2
118;4;20202 10161138.png;20202 10161122.png;2;2;2;2-;2-;2-
119;4;20202 118 3723.png;20202 118 378 .png;2;2;2;2;2;2+
120;4;20202 118 3811.png;20202 118 380 .png;2;2;2;2;2;2
121;4;20202 118 3859.png;20202 118 3846.png;2;2;2;2;2;2
122;4;20202 118 3952.png;20202 118 3939.png;2;2;2;2;2;2
123;4;20202 118 4057.png;20202 118 4043.png;2;2;2-;2-;2-;2-
124;4;20202 118 4153.png;20202 118 4142.png;2;2;2;2;2;2
125;4;20202 118 4612.png;20202 118 4544.png;2;2;2;2+;3-;2+
126;4;20202 118 4715.png;20202 118 4655.png;2;2;2-;2;2-;2
127;4;20202 118 4819.png;20202 118 482 .png;2;2;2;2+;2+;2+
128;4;20202 118 4911.png;20202 118 4859.png;2;2;2;2;2;2
129;4;20202 118 5011.png;20202 118 4952.png;2;2;2;2;2+;2
130;4;20202 118 5119.png;20202 118 511 .png;2;2;2;2;2+;2
131;4;20202 118 5521.png;20202 118 553 .png;2;2;2;2;2;2
132;4;20202 118 5635.png;20202 118 5617.png;2;2;2;2+;2;2
133;4;20202 118 5724.png;20202 118 5711.png;2;2;2;2;2;2
134;4;20202 118 5813.png;20202 118 580 .png;2;2;2;2;2;2
135;4;20202 118 596 .png;20202 118 5853.png;2;2;2;2;2;2
136;4;20202 119 0 18.png;20202 118 5953.png;2;2;2;2-;2;2
137;4;20202 119 1 20.png;20202 119 1 8 .png;2;2;2;2;2;2
138;4;20202 119 2 40.png;20202 119 2 20.png;2;2;2;2;2;2
139;4;20202 119 3 28.png;20202 119 3 14.png;2;2;2;2;2;2
140;4;20202 119 4 34.png;20202 119 4 19.png;2;2;2+;2+;2;2
141;4;20202 119 5 35.png;20202 119 5 14.png;2;2;2-;2;2-;2
142;4;20202 119 6 21.png;20202 119 6 9 .png;2;2;2;2;2;2
143;4;20202 119 2539.png;20202 119 2517.png;2;2;2;2;2-;2
144;4;20202 119 2644.png;20202 119 2622.png;2;2;2-;2-;2;2
145;4;20202 119 2740.png;20202 119 2726.png;2;2;2;2;2;2
146;4;20202 119 2826.png;20202 119 2815.png;2;2;2;2;2;2
147;4;20202 119 2915.png;20202 119 292 .png;2;2;2;2;2;2
148;4;20202 119 302 .png;20202 119 2949.png;2;2;2;2;2;2
149;4;20202 119 3112.png;20202 119 3053.png;2;2;2;2;2;2
150;4;20202 119 3251.png;20202 119 3236.png;2;2;2;2-;2-;2
151;4;20202 119 3340.png;20202 119 3327.png;2;2;2;2;2;2
152;4;20202 119 3449.png;20202 119 3431.png;2;2;2-;2;2;2-
153;4;20202 119 4430.png;20202 119 4418.png;2;2;2;2;2;2
154;4;20202 119 4524.png;20202 119 4511.png;2;2;2;2;2;2
155;4;20202 119 4622.png;20202 119 466 .png;2;2;2;2;2;2
156;4;20202 119 4714.png;20202 119 473 .png;2;2;2;2;2;2
157;4;20202 119 4822.png;20202 119 488 .png;2;2;2-;2-;2;2
158;4;20202 119 4921.png;20202 119 498 .png;2;2;2+;2+;2+;2+
159;4;20202 119 5032.png;20202 119 509 .png;2;2;2;2;2-;2
160;4;20202 119 5125.png;20202 119 5111.png;2;2;2;2;2;2
161;4;20202 119 5218.png;20202 119 525 .png;2;2;2;2;2;2
162;4;20202 119 5315.png;20202 119 5257.png;2;2;2;2;2;2
163;4;20202 119 548 .png;20202 119 5355.png;2;2;2;2;2;2
165;8;20202 138 4535.png;20202 138 4522.png;3;3;3;3;3;3
166;8;20202 138 4643.png;20202 138 4619.png;3;3;3+;3;3;3
167;8;20202 138 4752.png;20202 138 4736.png;3;3;3+;3+;3;3
168;8;20202 138 4846.png;20202 138 4833.png;3;3;3;3+;3;3
169;8;20202 138 4949.png;20202 138 4937.png;3;3;3;3;3;3
170;8;20202 138 5051.png;20202 138 5033.png;3;3;3+;3;3;3
171;8;20202 138 5151.png;20202 138 5140.png;3;3;3;3;3;3
172;8;20202 138 5249.png;20202 138 5236.png;3;3;3;3;3;3
173;8;20202 138 5345.png;20202 138 5332.png;3;3;3;3;3;3
174;8;20202 138 5448.png;20202 138 5434.png;3;3;3+;3+;3;3
175;8;20202 138 560 .png;20202 138 5546.png;3;3;3;3;3-;3-
176;8;20202 138 5658.png;20202 138 5644.png;3;3;3;3;3;3
177;8;20202 139 2 24.png;20202 139 2 8 .png;3;3;3+;3;3;3
178;8;20202 139 3 17.png;20202 139 3 3 .png;3;3;3;3-;3;3
179;8;20202 139 4 17.png;20202 139 4 5 .png;3;3;3;3;3;3
180;8;20202 139 6 11.png;20202 139 5 57.png;3;3;3;3;3;3-
181;8;20202 139 7 30.png;20202 139 7 19.png;3;3;3-;3-;3-;3-
182;8;20202 139 8 24.png;20202 139 8 12.png;3;3;3;3;3;3
183;8;20202 139 9 11.png;20202 139 9 0 .png;3;3;3;3;3;3
184;8;20202 139 109 .png;20202 139 9 57.png;3;3;3-;3-;3;3
185;8;20202 139 113 .png;20202 139 1052.png;3;3;3;3;3;3
186;8;20202 139 1155.png;20202 139 1144.png;3;3;3;3;3;3
187;8;20202 139 1242.png;20202 139 1230.png;3;3;3;3;3;3
188;8;20202 139 1539.png;20202 139 1528.png;3;3;3+;3+;3+;3+
189;8;20202 139 1658.png;20202 139 1647.png;3;3;3;3;3;3
190;8;20202 139 4025.png;20202 139 404 .png;3;3;3;3;3;3
191;8;20202 139 4138.png;20202 139 4123.png;3;3;3;3-;3;3
192;8;20202 139 4237.png;20202 139 4227.png;3;3;3;3;3;3
193;8;20202 139 4342.png;20202 139 4330.png;3;3;3;3;3;3
194;8;20202 139 4823.png;20202 139 4432.png;3;3;3-;3-;3;3
195;8;20202 139 4941.png;20202 139 4920.png;3;3;3;3;3+;3
196;8;20202 139 5117.png;20202 139 515 .png;3;3;3;3;3;3
197;8;20202 139 5229.png;20202 139 5211.png;3;3;3;3-;3;3-
198;8;20202 139 5334.png;20202 139 5318.png;3;3;3-;3;3;3
199;8;20202 139 5434.png;20202 139 5423.png;3;3;3-;3-;3;3
200;8;20202 139 5547.png;20202 139 5535.png;3;3;3;3;3;3+
201;8;20202 139 5715.png;20202 139 5639.png;3;3;2;3;1;3
202;8;20202 13107 0 .png;20202 13106 47.png;3;3;3;3;3;3
203;8;20202 13108 12.png;20202 13107 54.png;3;3;3-;3-;3;3-
204;8;20202 13109 31.png;20202 13109 3 .png;3;3;3-;3;3+;3
205;8;20202 13101023.png;20202 13101011.png;3;3;3-;3-;3+;3+
206;8;20202 13102253.png;20202 13102241.png;3;3;3;3;3;3
207;8;20202 13102358.png;20202 13102341.png;3;3;3;3-;3;3
208;8;20202 1310257 .png;20202 13102448.png;3;3;3-;3;3;3
209;8;20202 14102027.png;20202 1410209 .png;3;3;3;3-;3;3-
210;8;20202 14102120.png;20202 1410219 .png;3;3;3;3;3;3
211;8;20202 14102220.png;20202 1410220 .png;3;3;3-;3;3-;3
212;8;20202 14102316.png;20202 1410233 .png;3;3;3;3;3;3
213;8;20202 1410247 .png;20202 14102354.png;3;3;3;3;3;3
214;8;20202 1410254 .png;20202 14102453.png;3;3;3;3;3;3
215;8;20202 14102550.png;20202 14102539.png;3;3;3;3;3;3
216;8;20202 14102837.png;20202 14102814.png;3;3;3;3;3;3
217;8;20202 14102944.png;20202 14102931.png;3;3;3;3;3;3
218;8;20202 14103043.png;20202 14103032.png;3;3;3;3;3;3
219;8;20202 14103238.png;20202 14103222.png;3;3;3;3;3;3
220;8;20202 14103347.png;20202 14103333.png;3;3;3;3;3;3+
221;8;20202 14103934.png;20202 1410398 .png;3;3;3;3;3;3
222;8;20202 14104047.png;20202 14104034.png;3;3;3;3;3;3
223;8;20202 1410438 .png;20202 14104248.png;3;3;3+;3;3;3
224;8;20202 14104617.png;20202 14104558.png;3;3;3+;3+;3;3
225;8;20202 14104742.png;20202 14104723.png;3;3;3-;3;3;3
226;8;20202 14104850.png;20202 14104839.png;3;3;3;3;3;3
227;8;20202 1410508 .png;20202 14104946.png;3;3;3-;3-;3;3
228;8;20202 14105235.png;20202 14105218.png;3;3;3+;3+;3+;3
229;8;20202 14105330.png;20202 14105319.png;3;3;3;3;3;3
230;8;20202 1410552 .png;20202 14105445.png;3;3;3;3;3;3
231;8;20202 14105741.png;20202 14105716.png;3;3;3;3;3+;3
232;8;20202 14105851.png;20202 14105833.png;3;3;3;3;3+;3
233;8;20202 14112330.png;20202 1411235 .png;3;3;3;3-;3+;3
234;8;20202 14112423.png;20202 14112411.png;3;3;3;3;3;3
235;8;20202 14112515.png;20202 14112459.png;3;3;3+;3;3;3
236;8;20202 1411261 .png;20202 14112550.png;3;3;3;3;3;3
237;8;20202 14112648.png;20202 14112637.png;3;3;3;3;3;3
238;8;20202 14112736.png;20202 14112725.png;3;3;3;3;3;3
239;8;20202 14112829.png;20202 14112817.png;3;3;3;3;3;3
240;8;20202 14112918.png;20202 1411296 .png;3;3;3;3;3;3
241;8;20202 14113018.png;20202 1411303 .png;3;3;3;3+;3;3+
242;8;20202 14113140.png;20202 14113126.png;3;3;3+;3+;3;3+
243;8;20202 14113241.png;20202 14113220.png;3;3;3+;3;3;3
244;8;20202 14113338.png;20202 14113328.png;3;3;3;3;3;3
245;8;20202 14113956.png;20202 14113942.png;3;3;3;3+;3;3
246;8;20202 1411412 .png;20202 14114046.png;3;3;3-;3-;3;3
247;8;20202 14114215.png;20202 14114156.png;3;3;3;3;3;3
248;8;20202 14114432.png;20202 14114413.png;3;3;3-;3;3;3
249;8;20202 14114633.png;20202 14114618.png;3;3;3;3-;3;3-
250;8;20202 14114735.png;20202 14114723.png;3;3;3-;3-;3;3
251;8;20202 14114939.png;20202 14114823.png;3;3;3;3-;3-;3
252;8;20202 14115046.png;20202 14115031.png;3;3;3;3+;3;3
253;8;20202 14115230.png;20202 14115216.png;3;3;3;3;3;3
254;8;20202 14115549.png;20202 14115535.png;3;3;3;3;3;3
255;8;20202 14115716.png;20202 1411574 .png;3;3;3;3;3;3
256;8;20202 14115821.png;20202 1411589 .png;3;3;3-;3-;3;3
257;8;20202 1412211 .png;20202 14122049.png;3;3;3;3;3;3
258;8;20202 1412226 .png;20202 14122147.png;3;3;3+;3+;3;3
259;8;20202 14122417.png;20202 1412246 .png;3;3;3;3;3;3
260;8;20202 1412262 .png;20202 14122547.png;3;3;3;3;3;3
261;8;20202 14122753.png;20202 14122743.png;3;3;3;3;3;3
262;8;20202 14123159.png;20202 14123149.png;3;3;3;3;3;3
263;8;20202 14123256.png;20202 14123243.png;3;3;3;3;3;3
264;8;20202 14123345.png;20202 14123334.png;3;3;3;3;3;3
265;8;20202 14123442.png;20202 14123432.png;3;3;3;3;3;3
267;10;20202 2716374 .png;20202 27163633.png;1;1;1;2;1;2-
268;10;20202 2716393 .png;20202 27163837.png;1;1;1;1;1;1
269;10;20202 2716403 .png;20202 27163947.png;1;1;1;1;1;1
270;10;20202 2716417 .png;20202 27164047.png;1;1;1;2-;1;2
271;10;20202 2716421 .png;20202 27164147.png;1;1;1;1;1;1
272;10;20202 27164248.png;20202 27164235.png;1;1;1;1;1;1
273;10;20202 27164346.png;20202 27164325.png;1;1;1;1;1;1
274;10;20202 27164454.png;20202 27164432.png;1;1;1;3-;2-;1
275;10;20202 27164559.png;20202 27164542.png;1;1;1;1;2;2+
276;10;20202 27164714.png;20202 27164654.png;1;1;2+;3-;2;2+
277;10;20202 27164814.png;20202 27164751.png;1;1;2-;1;1;1
278;10;20202 2716493 .png;20202 27164849.png;1;1;1;1;1;1
279;10;20202 2910135 .png;20202 29101248.png;1;1;1;1;1;1
280;10;20202 29101425.png;20202 2910146 .png;1;1;1;1;1;1
281;10;20202 29101520.png;20202 2910151 .png;1;1;2;1;1;1
282;10;20202 29101622.png;20202 2910165 .png;1;1;1;1;2;2-
283;10;20202 29101721.png;20202 29101659.png;1;1;1;1;3-;1
284;10;20202 2910188 .png;20202 29101758.png;1;1;1;1;1;1
285;10;20202 2910191 .png;20202 29101842.png;1;1;1;1;1;1
286;10;20202 2910201 .png;20202 29101949.png;1;1;2;2;2;2
287;10;20202 29102048.png;20202 29102037.png;1;1;1;1;1;1
288;10;20202 29102213.png;20202 29102142.png;1;1;1;1;1;1
289;10;20202 2910237 .png;20202 29102253.png;1;1;1;1;1;1
290;10;20202 2910242 .png;20202 29102343.png;1;1;2+;1;1;1
291;10;20203 2 7 4 8 .png;20203 2 7 3 56.png;1;1;1;1;1;1
292;10;20203 2 7 4 51.png;20203 2 7 4 39.png;1;1;1;1;1;1
293;10;20203 2 7 5 57.png;20203 2 7 5 33.png;1;1;2;1;2-;2
294;10;20203 2 7 6 58.png;20203 2 7 6 34.png;1;1;1;2-;2-;1
295;10;20203 2 7 7 45.png;20203 2 7 7 31.png;1;1;1;1;1;1
296;10;20203 2 7 8 43.png;20203 2 7 8 23.png;1;1;2;2;2-;2
297;10;20203 2 7 9 30.png;20203 2 7 9 18.png;1;1;1;1;1;1
298;10;20203 2 7 1024.png;20203 2 7 106 .png;1;1;2;1;1;1
299;10;20203 2 7 1120.png;20203 2 7 110 .png;1;1;1;1;1;1
300;10;20203 2 7 1211.png;20203 2 7 1157.png;1;1;1;1;1;1
301;10;20203 2 7 1319.png;20203 2 7 137 .png;1;1;1;1;2-;2-
302;10;20203 2 7 1410.png;20203 2 7 1357.png;1;1;1;1;1;1
303;10;20203 2 7 1817.png;20203 2 7 180 .png;1;1;2;1;1;1
304;10;20203 2 7 195 .png;20203 2 7 1853.png;1;1;1;1;1;2+
305;10;20203 2 7 1944.png;20203 2 7 1932.png;1;1;1;1;1;1
306;10;20203 2 7 2037.png;20203 2 7 2023.png;1;1;1;2;1;2
307;10;20203 2 7 2120.png;20203 2 7 213 .png;1;1;1;1;1;1
308;10;20203 2 7 221 .png;20203 2 7 2149.png;1;1;1;1;1;1
309;10;20203 2 7 2249.png;20203 2 7 2239.png;1;1;1;1;1;1
310;10;20203 2 7 2356.png;20203 2 7 2330.png;1;1;3;1;3;1
311;10;20203 2 7 251 .png;20203 2 7 2441.png;1;1;2-;3;3-;3-
312;10;20203 2 7 2617.png;20203 2 7 265 .png;1;1;1;1;1;1
313;10;20203 2 7 2721.png;20203 2 7 277 .png;1;1;1;1;2-;2-
314;10;20203 2 7 2815.png;20203 2 7 283 .png;1;1;3;3;2-;2-
315;10;20203 2 7 3055.png;20203 2 7 3043.png;1;1;3-;3-;2-;2-
316;10;20203 2 7 326 .png;20203 2 7 3136.png;1;1;3-;3;2-;1
317;10;20203 2 7 3252.png;20203 2 7 3240.png;1;1;1;1;1;1
318;10;20203 2 7 3337.png;20203 2 7 3323.png;1;1;1;1;1;1
319;10;20203 2 7 3440.png;20203 2 7 3429.png;1;1;1;1;1;1
320;10;20203 2 7 3533.png;20203 2 7 3521.png;1;1;2-;2-;1;1
321;10;20203 2 7 4538.png;20203 2 7 4520.png;1;1;1;1;1;3-
322;10;20203 2 7 4633.png;20203 2 7 4611.png;1;1;1;1;1;1
323;10;20203 2 7 4735.png;20203 2 7 4714.png;1;1;2-;2-;1;2-
324;10;20203 2 7 4820.png;20203 2 7 487 .png;1;1;1;1;1;1
325;10;20203 2 7 494 .png;20203 2 7 4853.png;1;1;1;1;1;1
326;10;20203 2 7 5026.png;20203 2 7 501 .png;1;1;2+;1;1;1
327;10;20203 2 7 517 .png;20203 2 7 5054.png;1;1;1;1;1;1
328;10;20203 2 7 527 .png;20203 2 7 5150.png;1;1;2;3-;1;1
329;10;20203 2 7 536 .png;20203 2 7 5250.png;1;1;1;1;1;2
330;10;20203 2 7 547 .png;20203 2 7 5347.png;1;1;2-;1;2-;1
331;10;20203 2 8 8 22.png;20203 2 8 8 1 .png;1;1;1;3;1;3-
332;10;20203 2 8 9 19.png;20203 2 8 9 6 .png;1;1;1;1;1;1
333;10;20203 2 8 101 .png;20203 2 8 9 50.png;1;1;1;1;1;1
334;10;20203 2 8 1053.png;20203 2 8 1032.png;1;1;1;1;2-;1
335;10;20203 2 8 1141.png;20203 2 8 1128.png;1;1;1;2-;1;1
336;10;20203 2 8 1346.png;20203 2 8 1316.png;1;1;3;1;1;1
337;10;20203 2 8 1430.png;20203 2 8 1419.png;1;1;1;1;1;1
338;10;20203 2 8 1516.png;20203 2 8 1459.png;1;1;2;1;1;1
339;10;20203 2 8 1625.png;20203 2 8 165 .png;1;1;2;1;1;1
340;10;20203 2 8 1712.png;20203 2 8 1654.png;1;1;2;1;1;1
341;10;20203 2 8 1810.png;20203 2 8 1759.png;1;1;1;1;1;1
342;10;20203 2 8 1859.png;20203 2 8 1846.png;1;1;1;1;1;1
343;10;20203 2 8 2451.png;20203 2 8 2427.png;1;1;2+;2;2;2+
344;10;20203 2 8 2534.png;20203 2 8 2520.png;1;1;1;1;1;1
345;10;20203 2 8 2627.png;20203 2 8 2614.png;1;1;2;2;2;2
346;10;20203 2 8 2711.png;20203 2 8 2657.png;1;1;1;1;1;1
347;10;20203 2 8 2858.png;20203 2 8 2841.png;1;1;2-;1;1;1
348;10;20203 2 8 2951.png;20203 2 8 2938.png;1;1;2;2;1;1
349;10;20203 2 8 3032.png;20203 2 8 3021.png;1;1;1;1;1;1
350;10;20203 2 8 3224.png;20203 2 8 329 .png;1;1;1;1;1;1
351;10;20203 2 8 337 .png;20203 2 8 3256.png;1;1;1;1;1;1
352;10;20203 2 8 346 .png;20203 2 8 3351.png;1;1;1;3-;2;3-
353;10;20203 2 8 3451.png;20203 2 8 3439.png;1;1;1;1;1;1
354;10;20203 2 8 360 .png;20203 2 8 3540.png;1;1;2-;2+;1;2
355;10;20203 2 8 3924.png;20203 2 8 392 .png;1;1;2;2;2;1
356;10;20203 2 8 405 .png;20203 2 8 3955.png;1;1;1;1;1;1
357;10;20203 2 8 410 .png;20203 2 8 4038.png;1;1;1;2;1;1
358;10;20203 2 8 5213.png;20203 2 8 5158.png;1;1;1;2-;1;1
359;10;20203 2 8 5333.png;20203 2 8 5320.png;1;1;1;1;1;1
360;10;20203 2 8 5415.png;20203 2 8 543 .png;1;1;1;1;1;1
361;10;20203 2 8 5740.png;20203 2 8 5452.png;1;1;1;3;1;1
362;10;20203 2 9 3629.png;20203 2 9 3612.png;1;1;2;2;1;2
363;10;20203 2 9 3725.png;20203 2 9 372 .png;1;1;2-;2;3-;2
364;10;20203 2 9 388 .png;20203 2 9 3758.png;1;1;1;1;1;1
365;10;20203 2 9 3856.png;20203 2 9 3839.png;1;1;2+;1;1;1
366;10;20203 2 9 3946.png;20203 2 9 3932.png;1;1;2-;2-;1;2-
367;6;20203 2 9 5026.png;20203 2 9 5012.png;4;4;4;4;4;4
368;6;20203 2 9 5123.png;20203 2 9 5111.png;4;4;4;4;4-;4-
369;6;20203 2 9 565 .png;20203 2 9 5553.png;4;4;4-;4-;4-;4-
